Case ID;Activity;Resource;Start;Complete;Variant;Variant index
travel permit 76808;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;09-01-2017 9:57:21;09-01-2017 9:57:21;Variant 4;4
travel permit 76808;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;09-01-2017 9:57:25;09-01-2017 9:57:25;Variant 4;4
travel permit 76808;Start trip;EMPLOYEE;13-01-2017 20:00:00;13-01-2017 20:00:00;Variant 4;4
travel permit 76808;End trip;EMPLOYEE;18-01-2017 20:00:00;18-01-2017 20:00:00;Variant 4;4
travel permit 76808;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;22-02-2017 10:47:54;22-02-2017 10:47:54;Variant 4;4
travel permit 76808;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;22-02-2017 10:55:31;22-02-2017 10:55:31;Variant 4;4
travel permit 76808;Request Payment;UNDEFINED;14-03-2017 13:13:42;14-03-2017 13:13:42;Variant 4;4
travel permit 76808;Payment Handled;UNDEFINED;16-03-2017 13:31:10;16-03-2017 13:31:10;Variant 4;4
travel permit 76289;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;09-01-2017 9:59:13;09-01-2017 9:59:13;Variant 4;4
travel permit 76289;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;09-01-2017 9:59:15;09-01-2017 9:59:15;Variant 4;4
travel permit 76289;Start trip;EMPLOYEE;29-01-2017 20:00:00;29-01-2017 20:00:00;Variant 4;4
travel permit 76289;End trip;EMPLOYEE;30-01-2017 20:00:00;30-01-2017 20:00:00;Variant 4;4
travel permit 76289;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;22-02-2017 10:58:02;22-02-2017 10:58:02;Variant 4;4
travel permit 76289;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;22-02-2017 10:58:06;22-02-2017 10:58:06;Variant 4;4
travel permit 76289;Request Payment;UNDEFINED;14-03-2017 13:13:08;14-03-2017 13:13:08;Variant 4;4
travel permit 76289;Payment Handled;UNDEFINED;16-03-2017 13:31:10;16-03-2017 13:31:10;Variant 4;4
travel permit 76683;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;09-01-2017 11:48:51;09-01-2017 11:48:51;Variant 4;4
travel permit 76683;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;09-01-2017 11:49:21;09-01-2017 11:49:21;Variant 4;4
travel permit 76683;Start trip;EMPLOYEE;11-01-2017 20:00:00;11-01-2017 20:00:00;Variant 4;4
travel permit 76683;End trip;EMPLOYEE;11-01-2017 20:00:00;11-01-2017 20:00:00;Variant 4;4
travel permit 76683;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;14-02-2017 12:06:09;14-02-2017 12:06:09;Variant 4;4
travel permit 76683;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;14-02-2017 12:11:48;14-02-2017 12:11:48;Variant 4;4
travel permit 76683;Request Payment;UNDEFINED;15-02-2017 11:31:29;15-02-2017 11:31:29;Variant 4;4
travel permit 76683;Payment Handled;UNDEFINED;20-02-2017 13:31:52;20-02-2017 13:31:52;Variant 4;4
travel permit 74085;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;09-01-2017 12:23:22;09-01-2017 12:23:22;Variant 4;4
travel permit 74085;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;09-01-2017 12:23:31;09-01-2017 12:23:31;Variant 4;4
travel permit 74085;Start trip;EMPLOYEE;05-02-2017 20:00:00;05-02-2017 20:00:00;Variant 4;4
travel permit 74085;End trip;EMPLOYEE;08-02-2017 20:00:00;08-02-2017 20:00:00;Variant 4;4
travel permit 74085;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;09-02-2017 14:10:10;09-02-2017 14:10:10;Variant 4;4
travel permit 74085;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;09-02-2017 14:10:14;09-02-2017 14:10:14;Variant 4;4
travel permit 74085;Request Payment;UNDEFINED;13-02-2017 11:18:47;13-02-2017 11:18:47;Variant 4;4
travel permit 74085;Payment Handled;UNDEFINED;16-02-2017 13:31:55;16-02-2017 13:31:55;Variant 4;4
travel permit 76297;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;09-01-2017 12:28:30;09-01-2017 12:28:30;Variant 4;4
travel permit 76297;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;09-01-2017 12:28:48;09-01-2017 12:28:48;Variant 4;4
travel permit 76297;Start trip;EMPLOYEE;05-02-2017 20:00:00;05-02-2017 20:00:00;Variant 4;4
travel permit 76297;End trip;EMPLOYEE;08-02-2017 20:00:00;08-02-2017 20:00:00;Variant 4;4
travel permit 76297;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;10-02-2017 8:02:32;10-02-2017 8:02:32;Variant 4;4
travel permit 76297;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;10-02-2017 8:22:30;10-02-2017 8:22:30;Variant 4;4
travel permit 76297;Request Payment;UNDEFINED;13-02-2017 11:13:12;13-02-2017 11:13:12;Variant 4;4
travel permit 76297;Payment Handled;UNDEFINED;16-02-2017 13:31:55;16-02-2017 13:31:55;Variant 4;4
travel permit 76305;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;10-01-2017 4:19:45;10-01-2017 4:19:45;Variant 4;4
travel permit 76305;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;10-01-2017 4:19:48;10-01-2017 4:19:48;Variant 4;4
travel permit 76305;Start trip;EMPLOYEE;18-01-2017 20:00:00;18-01-2017 20:00:00;Variant 4;4
